CONUM,CONAME,MARGIN,NTK,LOG(MAR),LOG(NTK),MNM,LOG(MNM),AMMKMNKZ,LOG(AMM),WINPARTY,TYPE1,TYPE2,TYPE3,RECTPOS,FLAG,,,,,,,,,,
496,Vilavancode,28669,12292,4.46,4.09,637,2.8,0,4.46,INC,NTK,MNM,AMMKMNKZ,2528,,,,,,,,,,,
499,Oddanchatram,28742,4944,4.46,3.69,1082,3.03,0,4.46,DMK,NTK,MNM,AMMKMNKZ,2543,,,,,,,,,,,
502,Orathanadu,28835,9050,4.46,3.96,721,2.86,26022,4.42,ADMK,NTK,MNM,AMMKMNKZ,2558,,,,,,,,,,,
505,Tiruttani,29253,12007,4.47,4.08,0,4.47,0,4.47,DMK,NTK,MNM,AMMKMNKZ,2573,,,,,,,,,,,
508,Saidapet,29408,10717,4.47,4.03,13454,4.13,2081,3.32,DMK,NTK,MNM,AMMKMNKZ,2588,,,,,,,,,,,
511,Thiruparankundram,29489,22722,4.47,4.36,16750,4.22,10190,4.01,ADMK,NTK,MNM,AMMKMNKZ,2603,,,,,,,,,,,
514,Palani,30056,7656,4.48,3.88,3732,3.57,2255,3.35,DMK,NTK,MNM,AMMKMNKZ,2618,,,,,,,,,,,
517,Thiruthuraipoondi,30068,15362,4.48,4.19,0,4.48,3555,3.55,CPI,NTK,MNM,AMMKMNKZ,2633,,,,,,,,,,,
520,Harur,30362,10950,4.48,4.04,0,4.48,14327,4.16,ADMK,NTK,MNM,AMMKMNKZ,2648,,,,,,,,,,,
523,Aranthangi,30893,18460,4.49,4.27,966,2.98,4699,3.67,INC,NTK,MNM,AMMKMNKZ,2663,,,,,,,,,,,
526,Perambalur,31034,18673,4.49,4.27,0,4.49,0,4.49,DMK,NTK,MNM,AMMKMNKZ,2678,,,,,,,,,,,
529,Krishnarayapuram,31625,9706,4.5,3.99,1848,3.27,0,4.5,DMK,NTK,MNM,AMMKMNKZ,2693,,,,,,,,,,,
532,Kumarapalayam,31646,13240,4.5,4.12,6125,3.79,0,4.5,ADMK,NTK,MNM,AMMKMNKZ,2708,,,,,,,,,,,
535,Maduravoyal,31721,21045,4.5,4.32,33401,4.52,2660,3.42,DMK,NTK,MNM,AMMKMNKZ,2723,,,,,,,,,,,
538,Sulur,31932,14426,4.5,4.16,12658,4.1,4111,3.61,ADMK,NTK,MNM,AMMKMNKZ,2738,,,,,,,,,,,
541,Thousand Lights,32462,8884,4.51,3.95,11791,4.07,1155,3.06,DMK,NTK,MNM,AMMKMNKZ,2753,,,,,,,,,,,
544,Palladam,32691,20524,4.51,4.31,10227,4.01,2618,3.42,ADMK,NTK,MNM,AMMKMNKZ,2768,,,,,,,,,,,
547,Madurai Central,34176,11215,4.53,4.05,14495,4.16,0,4.53,DMK,NTK,MNM,AMMKMNKZ,2783,,,,,,,,,,,
550,Melur,35162,10669,4.55,4.03,2176,3.34,34262,4.53,ADMK,NTK,MNM,AMMKMNKZ,2798,,,,,,,,,,,
553,Shozhinganallur,35405,38872,4.55,4.59,30284,4.48,0,4.55,DMK,NTK,MNM,AMMKMNKZ,2813,,,,,,,,,,,
556,Gingee,35803,9920,4.55,4,2151,3.33,4811,3.68,DMK,NTK,MNM,AMMKMNKZ,2828,,,,,,,,,,,
559,Vandavasi,35953,9284,4.56,3.97,1692,3.23,1728,3.24,DMK,NTK,MNM,AMMKMNKZ,2843,,,,,,,,,,,
